"","Entity","CUI","Freq","Tid","Tname"
"5747","adhd dx","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"5749","syndromic forms of meg","C1863924",2,"T047","Disease or Syndrome"
"5753","environmental and genetic factors","C1516998",2,"T033","Finding"
"5754","anxiety-provoking situations","C0262377",2,"T048","Mental or Behavioral Dysfunction"
"5757","anxiety-like responses","C0516709",2,"T033","Finding"
"5764","greater relative preference","C0582062",2,"T055","Individual Behavior"
"5768","severe oppositional trait","C2024874",2,"T033","Finding"
"5773","individual impairment","C4061545",2,"T033","Finding"
"5774","greater symptom","C2016841",2,"T184","Sign or Symptom"
"5778","severe neurodevelopmental disorders","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"5782","bb inter-subjective behavior","C2610220",2,"T055","Individual Behavior"
"5786","deficits in executive functions","C2921140",2,"T184","Sign or Symptom"
"5789","deficits in empathy","C0013989",2,"T055","Individual Behavior"
"5790","primary psychopathic traits","C0233859",2,"T048","Mental or Behavioral Dysfunction"
"5793","low 17","C0855641",2,"T033","Finding"
"5794","primary psychopathic tendencies","C0003431",2,"T048","Mental or Behavioral Dysfunction"
"5795","deficits in body movement modulation","C0231353",2,"T033","Finding"
"5796","deficits in attention disengagement","C4076080",2,"T048","Mental or Behavioral Dysfunction"
"5800","ptov positive tone of voice","C1821250",2,"T033","Finding"
"5802","hearing disorders","C0260662",2,"T033","Finding"
"5804","traumatic stress","C0038436",2,"T048","Mental or Behavioral Dysfunction"
"5807","gross motor delay","C1837658",2,"T047","Disease or Syndrome"
"5809","episodic memory","C0561843",2,"T041","Mental Process"
"5810","severe epilepsy","C1319803",2,"T033","Finding"
"5811","severe epileptic encephalopathy","C0543888",2,"T047","Disease or Syndrome"
"5812","degenerative and developmental neurologic disorders","C0524851",2,"T047","Disease or Syndrome"
"5814","infant’s behavior","C0242952",2,"T055","Individual Behavior"
"5816","psychotic diseases","C0033975",2,"T048","Mental or Behavioral Dysfunction"
"5817","interaction difficulties","C1299586",2,"T033","Finding"
"5820","axis i disorder","C0270287",2,"T048","Mental or Behavioral Dysfunction"
"5821","moderate effect","C0333922",2,"T033","Finding"
"5825","infantile hypotonia","C0270971",2,"T047","Disease or Syndrome"
"5826","psychotic disorders","C0349203",2,"T048","Mental or Behavioral Dysfunction"
"5828","infantile encephalopathy","C1856408",2,"T033","Finding"
"5829","severe global language impairment","C0023015",2,"T048","Mental or Behavioral Dysfunction"
"5832","hearing difficulties","C1313969",2,"T033","Finding"
"5836","facial dysmorphic features","C0424503",2,"T033","Finding"
"5837","infectious episodes","C1835686",2,"T033","Finding"
"5842","average baseline pupil diameter","C0489618",2,"T033","Finding"
"5847","adhd cases","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"5849","psychosocial dysfunction","C1268627",2,"T033","Finding"
"5855","traumatic experiences","C2136284",2,"T033","Finding"
"5856","long neurodevelopmental disorder","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"5857","loss of speech","C0542223",2,"T033","Finding"
"5859","infection-mediated neurodevelopmental disorders","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"5863","hearing deficits","C1384666",2,"T047","Disease or Syndrome"
"5864","main effect of type of expression","C1386517",2,"T048","Mental or Behavioral Dysfunction"
"5873","task requirements","C4062092",2,"T033","Finding"
"5875","locomotor hyperactivity","C0424295",2,"T048","Mental or Behavioral Dysfunction"
"5878","moderate-to-high risk factor","C3693582",2,"T033","Finding"
"5884","severe in srs","C0175693",2,"T047","Disease or Syndrome"
"5885","participant’s language ability","C1145677",2,"T041","Mental Process"
"5886","bacterial infection","C0004623",2,"T047","Disease or Syndrome"
"5889","moderately low","C1301510",2,"T033","Finding"
"5895","severe infections","C0517627",2,"T033","Finding"
"5897","epileptic disorders","C0014544",2,"T047","Disease or Syndrome"
"5898","facial speech movement","C0564064",2,"T033","Finding"
"5899","b167 mental functions of language","C2370908",2,"T041","Mental Process"
"5903","gross abnormalities","C0438152",2,"T033","Finding"
"5904","psychotic features","C0743076",2,"T048","Mental or Behavioral Dysfunction"
"5905","psychotic illness","C1860474",2,"T033","Finding"
"5908","psychotic illnesses","C1860474",2,"T033","Finding"
"5912","adhd comorbidity","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"5913","epileptic spikes","C0014544",2,"T047","Disease or Syndrome"
"5914","severe hyperacusis","C0034880",2,"T184","Sign or Symptom"
"5916","severe hyperandrogenemia","C1299574",2,"T033","Finding"
"5917","epileptic seizure","C0014544",2,"T047","Disease or Syndrome"
"5918","epileptic phenotype","C0014544",2,"T047","Disease or Syndrome"
"5921","tremendous stress","C0038435",2,"T033","Finding"
"5923","definite dysfunction on at least one sensory dimension","C3842867",2,"T033","Finding"
"5925","heart rate variability (hrv","C0429478",2,"T033","Finding"
"5932","interpersonal charm","C0849759",2,"T184","Sign or Symptom"
"5933","benign hereditary chorea","C0393584",2,"T047","Disease or Syndrome"
"5935","antisocial personality problems","C0003431",2,"T048","Mental or Behavioral Dysfunction"
"5940","faster gambling decisions","C0016995",2,"T055","Individual Behavior"
"5941","faster general rts","C0032339",2,"T047","Disease or Syndrome"
"5943","antisocial and aggressive behavior","C0233523",2,"T048","Mental or Behavioral Dysfunction"
"5950","enhance emotional","C0013987",2,"T041","Mental Process"
"5956","symptomatological comorbidity of hfasd","C0558467",2,"T184","Sign or Symptom"
"5958","selective mutism","C0236818",2,"T048","Mental or Behavioral Dysfunction"
"5960","increasing anxiety","C0003467",2,"T048","Mental or Behavioral Dysfunction"
"5961","pretreatment srs","C0175693",2,"T047","Disease or Syndrome"
"5962","prevalent neurodevelopmental disorder","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"5965","interpersonal behaviors","C0946149",2,"T054","Social Behavior"
"5967","behavioural and emotional problems","C0260658",2,"T033","Finding"
"5968","visual hallucinations","C0233763",2,"T184","Sign or Symptom"
"5971","behavioural changes in response","C0542299",2,"T055","Individual Behavior"
"5974","quantitative discordance","C0680238",2,"T054","Social Behavior"
"5975","quantitative discrepancy","C1290905",2,"T033","Finding"
"5977","behavioural disturbances","C0849883",2,"T184","Sign or Symptom"
"5979","behavioural impairment","C2712036",2,"T033","Finding"
"5980","behavioural impairments","C2712036",2,"T033","Finding"
"5981","behavioural issues","C0260657",2,"T033","Finding"
"5984","deficiencies in etc activity","C3842914",2,"T033","Finding"
"5987","synaptic abnormalities","C0393938",2,"T047","Disease or Syndrome"
"5989","anxiety 1","C1561361",2,"T033","Finding"
"5990","low anxiety","C2112001",2,"T033","Finding"
"5998","random effects meta-regression approach","C4227794",2,"T033","Finding"
"6003","adhd inattention","C0339002",2,"T048","Mental or Behavioral Dysfunction"
"6008","ad risk","C0002395",2,"T047","Disease or Syndrome"
"6014","pathogenic bacteria","C0314761",2,"T033","Finding"
"6018","fearful facial expressions","C4062409",2,"T033","Finding"
"6019","increased total brain volume","C0852208",2,"T047","Disease or Syndrome"
"6020","prepregnancy obesity","C3841292",2,"T033","Finding"
"6022","increased thwarted belonging","C4062152",2,"T033","Finding"
"6025","low birth","C0024032",2,"T033","Finding"
"6026","motor clumsiness","C2673348",2,"T033","Finding"
"6027","prepotent response tendencies","C0235196",2,"T033","Finding"
"6028","increased understanding","C0162340",2,"T041","Mental Process"
"6029","symbolic behaviour","C0039034",2,"T041","Mental Process"
"6031","increased urinary aaa concentrations","C4023688",2,"T033","Finding"
"6032","greater depressive symptoms","C0086132",2,"T184","Sign or Symptom"
"6035","symptom scores","C3476546",2,"T033","Finding"
"6036","r(14) syndrome","C0265455",2,"T047","Disease or Syndrome"
"6038","selective impairment","C4049006",2,"T047","Disease or Syndrome"
"6045","symptom domain","C2029780",2,"T184","Sign or Symptom"
"6049","symptom clusters","C0039082",2,"T047","Disease or Syndrome"
"6050","heterogeneous neurodevelopmental disorder","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"6051","heterogeneous neurodevelopmental disorders","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"6052","endocrine disorders","C0014130",2,"T047","Disease or Syndrome"
"6057","pathogenesis of rett syndrome","C0035372",2,"T047","Disease or Syndrome"
"6058","symbolic conditions","C0039034",2,"T041","Mental Process"
"6059","developmental issues","C0033213",2,"T033","Finding"
"6060","increased urinary levels","C0268157",2,"T047","Disease or Syndrome"
"6061","heritable disorders","C0019247",2,"T047","Disease or Syndrome"
"6062","major affective disorders","C0302847",2,"T048","Mental or Behavioral Dysfunction"
"6063","previous findings","C0232997",2,"T033","Finding"
"6065","mood disturbances","C2939186",2,"T048","Mental or Behavioral Dysfunction"
"6066","anxiety symptom severity","C0860603",2,"T184","Sign or Symptom"
"6068","mood dysregulation","C4065471",2,"T048","Mental or Behavioral Dysfunction"
"6069","deficit in executive functions","C2921140",2,"T184","Sign or Symptom"
"6070","behavioral despair","C0233488",2,"T184","Sign or Symptom"
"6072","mood symptoms","C2232697",2,"T184","Sign or Symptom"
"6078","enlargement of the eye size","C0795682",2,"T033","Finding"
"6079","behavioral dysregulation","C0813142",2,"T047","Disease or Syndrome"
"6080","familial clustering","C1861513",2,"T047","Disease or Syndrome"
"6083","morbid disorder","C0028756",2,"T047","Disease or Syndrome"
"6084","morbid disorders","C0028756",2,"T047","Disease or Syndrome"
"6088","enlarged ventricles","C3278923",2,"T033","Finding"
"6089","severe social deficits","C4228415",2,"T033","Finding"
"6092","trisomy 21","C0013080",2,"T047","Disease or Syndrome"
"6094","behavioral deficit","C0562445",2,"T033","Finding"
"6097","developmental and neurological disorders","C0349331",2,"T048","Mental or Behavioral Dysfunction"
"6099","false positive","C0205557",2,"T033","Finding"
"6100","severe psychiatric disorders","C3693500",2,"T048","Mental or Behavioral Dysfunction"
"6101","aaa abnormalities","C0162871",2,"T047","Disease or Syndrome"
"6104","independent risk factor","C0035648",2,"T033","Finding"
"6106","false positive results","C0205557",2,"T033","Finding"
"6108","aaa abnormalities in adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6110","self-injurious behaviours","C0085271",2,"T055","Individual Behavior"
"6111","adaptive behavior composite score","C4063714",2,"T033","Finding"
"6112","primary impairment","C0561734",2,"T033","Finding"
"6116","severe repetitive behaviors","C1827547",2,"T033","Finding"
"6117","adaptive behavior composite [linear","C4063714",2,"T033","Finding"
"6120","deficit in joint attention","C4076080",2,"T048","Mental or Behavioral Dysfunction"
"6121","independent effect","C2196748",2,"T033","Finding"
"6122","monozygotic, dz dizygotic","C0220761",2,"T033","Finding"
"6123","monuteaux dm","C0011849",2,"T047","Disease or Syndrome"
"6124","mood alterations","C0085633",2,"T048","Mental or Behavioral Dysfunction"
"6125","mood changes","C0085633",2,"T048","Mental or Behavioral Dysfunction"
"6128","behavioral issues","C0033213",2,"T033","Finding"
"6130","developmental brain disorders","C0349331",2,"T048","Mental or Behavioral Dysfunction"
"6133","behavioral variables","C3552157",2,"T033","Finding"
"6134","qualitative abnormalities in communication","C0272183",2,"T047","Disease or Syndrome"
"6137","anxiety disorders severity (adis) anxiety symptoms","C0851406",2,"T048","Mental or Behavioral Dysfunction"
"6138","qualitative abnormalities in reciprocal social interaction","C4064035",2,"T033","Finding"
"6141","behaviorally defined neurodevelopmental disorder","C3161379",2,"T048","Mental or Behavioral Dysfunction"
"6142","developmental condition","C4227794",2,"T033","Finding"
"6148","developmental coordination disorders","C0011757",2,"T048","Mental or Behavioral Dysfunction"
"6154","low and middle income countries","C0302604",2,"T033","Finding"
"6155","severely dysfunctional","C3274777",2,"T033","Finding"
"6158","abc-stereotypic behaviour, mean (sd)","C0038271",2,"T055","Individual Behavior"
"6161","developmental cognitive disorders","C0852409",2,"T048","Mental or Behavioral Dysfunction"
"6162","developmental cognitive disorder","C0852409",2,"T048","Mental or Behavioral Dysfunction"
"6163","primary adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6164","enlarged eyes","C2070096",2,"T033","Finding"
"6165","increasingly differentiated","C0517172",2,"T033","Finding"
"6168","severe speech production difficulties","C0233715",2,"T033","Finding"
"6171","behavioral performance","C0474385",2,"T033","Finding"
"6175","primary adhd diagnosis","C2945552",2,"T048","Mental or Behavioral Dysfunction"
"6177","behavioral problems","C0260657",2,"T033","Finding"
"6178","behavioral syndromes","C0349251",2,"T048","Mental or Behavioral Dysfunction"
"6179","hepatitis c","C0019196",2,"T047","Disease or Syndrome"
"6183","behavioral response","C0679165",2,"T055","Individual Behavior"
"6184","increasing symptoms","C0232461",2,"T033","Finding"
"6188","partners’ parenting behaviors","C0085092",2,"T054","Social Behavior"
"6191","increasing size","C0332509",2,"T033","Finding"
"6195","executive function problems","C0935584",2,"T041","Mental Process"
"6196","attention deficit/ hyperactivity disorder (adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6197","progressive developmental disorder","C2673430",2,"T033","Finding"
"6198","attention deficit/hyperactivity disorder (adhd)","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6200","mild cognitive disorder","C1270972",2,"T048","Mental or Behavioral Dysfunction"
"6201","intellectual deficit","C0796135",2,"T047","Disease or Syndrome"
"6202","progressive decrease","C0855513",2,"T033","Finding"
"6203","externalising difficulties","C1299586",2,"T033","Finding"
"6219","excitatory/inhibitory imbalance","C1397014",2,"T184","Sign or Symptom"
"6220","attention-deficit hyperactivity disorder","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6221","intellectual disability and language disability","C3714756",2,"T048","Mental or Behavioral Dysfunction"
"6222","attention-deficit hyperactivity disorder (adhd)","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6223","1 (high)","C0860909",2,"T033","Finding"
"6224","attention-deficit/ hyperactivity disorder","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6225","prosodic listening condition","C2584303",2,"T041","Mental Process"
"6226","sensory-motor actions","C4228063",2,"T033","Finding"
"6228","attention deficit hyperactivity disorder (adhd) symptoms","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6235","mind impairment","C0229992",2,"T041","Mental Process"
"6240","sensory strategies","C0679199",2,"T041","Mental Process"
"6250","sensory variables","C3280221",2,"T033","Finding"
"6255","exercise intolerance","C0424551",2,"T033","Finding"
"6257","habituation deficits","C0796022",2,"T047","Disease or Syndrome"
"6263","extra-axial fluid","C4022871",2,"T033","Finding"
"6265","minor anomalies","C1860476",2,"T033","Finding"
"6269","depressed/low mood","C0344315",2,"T048","Mental or Behavioral Dysfunction"
"6270","timothy syndrome (ts","C1832916",2,"T047","Disease or Syndrome"
"6273","excessive oxidative stress in the vulnerable central nervous system","C0270266",2,"T047","Disease or Syndrome"
"6276","depressed/low mood) across academic","C0344315",2,"T048","Mental or Behavioral Dysfunction"
"6279","inherited rare","C4231373",2,"T033","Finding"
"6282","asangelman syndrome","C0039082",2,"T047","Disease or Syndrome"
"6285","vision disorders","C0042790",2,"T033","Finding"
"6287","atypical attention","C0854191",2,"T048","Mental or Behavioral Dysfunction"
"6292","extra-axial csf","C4274507",2,"T047","Disease or Syndrome"
"6293","intellectual disability and language disorders","C3714756",2,"T048","Mental or Behavioral Dysfunction"
"6295","paroxysmal dyskinesia","C0752210",2,"T047","Disease or Syndrome"
"6296","attention-deficit/hyperactivity disorder (adhd) symptoms","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6299","parental stress","C1999012",2,"T033","Finding"
"6301","externalizing disorders","C0155410",2,"T047","Disease or Syndrome"
"6303","ascending prediction errors","C0871118",2,"T033","Finding"
"6306","mild adhd subtype","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6307","attention‐deficit hyperactivity disorder (adhd)","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6308","separable difficulty","C0517893",2,"T033","Finding"
"6309","attention‐deficit/hyperactivity disorder","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6310","attention‐deficit/hyperactivity disorder (adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6311","toddler’s failure of the csbs","C0021847",2,"T047","Disease or Syndrome"
"6316","growth delay/short stature","C0349588",2,"T033","Finding"
"6318","profound intellectual disability","C3161330",2,"T048","Mental or Behavioral Dysfunction"
"6319","profound intellectual disabilities","C3161330",2,"T048","Mental or Behavioral Dysfunction"
"6321","attenuating effect","C1854843",2,"T033","Finding"
"6328","mild to moderate intellectual disability","C4014546",2,"T033","Finding"
"6329","associated psychiatric symptoms","C0233401",2,"T184","Sign or Symptom"
"6332","associated stigma","C0277787",2,"T033","Finding"
"6333","mild to moderate mental retardation","C1861865",2,"T033","Finding"
"6337","tourette’s disorder","C0040517",2,"T047","Disease or Syndrome"
"6348","parents’ satisfaction","C0518139",2,"T033","Finding"
"6351","sensory disabilities","C1320361",2,"T033","Finding"
"6356","additional repetitive behaviors","C1827547",2,"T033","Finding"
"6359","viral and bacterial infections","C4015196",2,"T033","Finding"
"6363","prominent supraorbital ridges","C1842060",2,"T033","Finding"
"6364","larger linear alar-base width","C2171386",2,"T033","Finding"
"6365","parent–child interactions","C0030542",2,"T054","Social Behavior"
"6368","sensory hypo","C0858246",2,"T047","Disease or Syndrome"
"6369","sensory features","C1866763",2,"T033","Finding"
"6371","sensory impairments","C0020580",2,"T033","Finding"
"6372","associated behavioral problems","C0233514",2,"T048","Mental or Behavioral Dysfunction"
"6373","sensory input","C0036674",2,"T033","Finding"
"6375","mild symptoms","C0436343",2,"T033","Finding"
"6381","sensory dysregulation","C0813142",2,"T047","Disease or Syndrome"
"6386","mild intellectual disabilities","C0026106",2,"T048","Mental or Behavioral Dysfunction"
"6387","insomnia symptom severity","C0917801",2,"T184","Sign or Symptom"
"6390","• neurological disorders","C0027765",2,"T047","Disease or Syndrome"
"6391","associations between gaze performance with developmental scores","C0544094",2,"T033","Finding"
"6392","mild-moderate depression","C0588006",2,"T048","Mental or Behavioral Dysfunction"
"6393","total symptom scores","C3533163",2,"T033","Finding"
"6395","ha (cell signaling)","C0018681",2,"T184","Sign or Symptom"
"6396","total lack of facial expressions","C0813217",2,"T033","Finding"
"6397","additional insights","C0233820",2,"T041","Mental Process"
"6398","sensory responses","C1838401",2,"T033","Finding"
"6399","additional variables","C4012414",2,"T033","Finding"
"6400","asymmetric arm swing","C2938985",2,"T033","Finding"
"6407","initial neurodevelopmental disorder diagnosis","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"6408","asperger adults","C0236792",2,"T048","Mental or Behavioral Dysfunction"
"6411","mild facial dysmorphism","C2749206",2,"T033","Finding"
"6412","loss function","C4061179",2,"T033","Finding"
"6415","mild dysmorphic features","C2749190",2,"T033","Finding"
"6420","parents’ difficulties with emotion regulation","C0686974",2,"T054","Social Behavior"
"6421","mild dysmorphic facial features","C4015346",2,"T033","Finding"
"6423","sensory deficits","C0748618",2,"T033","Finding"
"6425","sensory processing disorder","C4087194",2,"T047","Disease or Syndrome"
"6426","total rbs-r scores","C4086110",2,"T033","Finding"
"6428","associations between memory","C0338657",2,"T047","Disease or Syndrome"
"6430","prolonged event","C1963217",2,"T033","Finding"
"6431","total stereotypies","C0038273",2,"T048","Mental or Behavioral Dysfunction"
"6432","experience of discomfort","C2364135",2,"T184","Sign or Symptom"
"6434","mild/moderate intellectual disabilities","C4014546",2,"T033","Finding"
"6443","milder phenotype","C3808713",2,"T033","Finding"
"6444","total problems","C0262174",2,"T033","Finding"
"6447","injury event","C0277646",2,"T033","Finding"
"6448","total problem behaviour","C0233514",2,"T048","Mental or Behavioral Dysfunction"
"6450","main effect of congruency","C0871897",2,"T041","Mental Process"
"6453","propionic acidemia","C0268579",2,"T047","Disease or Syndrome"
"6454","injurious behavior (oib)","C0085271",2,"T055","Individual Behavior"
"6458","eye movement artefacts","C0429281",2,"T033","Finding"
"6460","auditory hallucinations","C0233762",2,"T184","Sign or Symptom"
"6464","adhd adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6467","depressive symptomatology","C0558467",2,"T184","Sign or Symptom"
"6468","auditory receptive language component in motor skill learning","C2169672",2,"T048","Mental or Behavioral Dysfunction"
"6469","psychological strain","C0481801",2,"T048","Mental or Behavioral Dysfunction"
"6470","adhd adolescents","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6477","hctfs in the joint attention condition","C2372002",2,"T041","Mental Process"
"6479","severe autism","C1839707",2,"T033","Finding"
"6480","depressive-like behavior","C0339017",2,"T048","Mental or Behavioral Dysfunction"
"6486","autism interaction term","C0004352",2,"T048","Mental or Behavioral Dysfunction"
"6487","large water drift","C0272414",2,"T047","Disease or Syndrome"
"6490","mitochondrial impairment","C3554093",2,"T033","Finding"
"6494","microglial dysregulation in tourette syndrome","C3824958",2,"T047","Disease or Syndrome"
"6495","eye contact×region×question phase interaction","C4028102",2,"T033","Finding"
"6500","eye disease","C0017925",2,"T047","Disease or Syndrome"
"6504","inflammatory process","C0749224",2,"T047","Disease or Syndrome"
"6507","additional brain abnormalities","C0476393",2,"T033","Finding"
"6511","depressive episode","C0349217",2,"T048","Mental or Behavioral Dysfunction"
"6514","painful medical condition","C1405025",2,"T184","Sign or Symptom"
"6516","severe acne","C1858365",2,"T033","Finding"
"6519","severe adhd symptoms","C0436346",2,"T033","Finding"
"6520","depressive symptom","C0086132",2,"T184","Sign or Symptom"
"6521","tension in participation","C0233494",2,"T048","Mental or Behavioral Dysfunction"
"6523","excessive head motion","C3669952",2,"T033","Finding"
"6524","psychosexual knowledge","C0033953",2,"T048","Mental or Behavioral Dysfunction"
"6525","temporal visual speech area","C4015714",2,"T033","Finding"
"6526","autonomic activity","C0741308",2,"T047","Disease or Syndrome"
"6527","autonomic dysfunction","C1145628",2,"T047","Disease or Syndrome"
"6528","adhd attention-deficit hyperactivity disorder","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6530","adhd attention-deficit/hyperactivity disorder","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6531","mixed races","C0425372",2,"T033","Finding"
"6538","severe depressions","C0588008",2,"T048","Mental or Behavioral Dysfunction"
"6540","health-related behaviors","C0237121",2,"T055","Individual Behavior"
"6541","autonomic responses","C4023507",2,"T047","Disease or Syndrome"
"6542","additional adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6546","severe developmental delay","C1837397",2,"T033","Finding"
"6548","autosomal dominant disorder","C0265385",2,"T047","Disease or Syndrome"
"6549","autosomal dominant genetic disorder","C2136971",2,"T033","Finding"
"6554","psychosexual scales","C0033953",2,"T048","Mental or Behavioral Dysfunction"
"6558","mitochondrial metabolism","C1456275",2,"T047","Disease or Syndrome"
"6560","autism‐related brain changes","C1853755",2,"T047","Disease or Syndrome"
"6561","mitochondrial myopathy","C0162670",2,"T047","Disease or Syndrome"
"6564","ar = allergic rhinitis","C2607914",2,"T047","Disease or Syndrome"
"6567","delayed myelination","C1277241",2,"T033","Finding"
"6568","severe brain damage","C3279537",2,"T033","Finding"
"6570","“other” psychiatric disorders","C2015805",2,"T048","Mental or Behavioral Dysfunction"
"6571","transmission disequilibrium test","C0281825",2,"T033","Finding"
"6580","delayed fatherhood","C0337499",2,"T054","Social Behavior"
"6581","temptation to defect","C0871501",2,"T041","Mental Process"
"6583","semi-free play","C0262568",2,"T047","Disease or Syndrome"
"6587","event-based pm task in separate conditions","C0237868",2,"T054","Social Behavior"
"6589","adhd = attention-deficit hyperactivity disorder","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6590","delta change scores","C3257946",2,"T033","Finding"
"6592","seq (hypo","C0858246",2,"T047","Disease or Syndrome"
"6594","loss of function","C4061179",2,"T033","Finding"
"6597","threat-related emotional expressions","C0302826",2,"T048","Mental or Behavioral Dysfunction"
"6598","information overload","C0020461",2,"T033","Finding"
"6599","magical thinking","C0233640",2,"T048","Mental or Behavioral Dysfunction"
"6600","depression levels","C1319226",2,"T033","Finding"
"6604","extreme prematurity","C0270078",2,"T047","Disease or Syndrome"
"6607","thought disorder","C2115875",2,"T033","Finding"
"6608","prodromal symptoms","C3494358",2,"T184","Sign or Symptom"
"6611","intellectual limitations","C3714756",2,"T048","Mental or Behavioral Dysfunction"
"6613","extreme rigidity","C0239366",2,"T033","Finding"
"6618","prodromal features","C0240805",2,"T184","Sign or Symptom"
"6621","vision problems","C3665347",2,"T033","Finding"
"6624","depression episodes","C0349217",2,"T048","Mental or Behavioral Dysfunction"
"6626","minor physical anomalies","C1860476",2,"T033","Finding"
"6627","thwarted belonging","C4062152",2,"T033","Finding"
"6630","excessive grooming","C3686622",2,"T033","Finding"
"6634","excessive extra-axial csf","C4274507",2,"T047","Disease or Syndrome"
"6639","atypical developmental trajectories","C2062758",2,"T048","Mental or Behavioral Dysfunction"
"6642","separated proteins","C0086972",2,"T033","Finding"
"6643","handling unpleasant emotions","C0557930",2,"T033","Finding"
"6649","loss of function","C0155514",2,"T047","Disease or Syndrome"
"6650","large-scale mtdna deletions","C3277376",2,"T033","Finding"
"6653","psychiatric and neurological disorders","C3693500",2,"T048","Mental or Behavioral Dysfunction"
"6657","psychiatric or neurologic disorders","C2707264",2,"T048","Mental or Behavioral Dysfunction"
"6658","atypical sensory reactivity","C1850384",2,"T047","Disease or Syndrome"
"6659","psychiatric or neurological disorder","C2707264",2,"T048","Mental or Behavioral Dysfunction"
"6660","psychiatric or neurological disorders","C2707264",2,"T048","Mental or Behavioral Dysfunction"
"6663","extremely rapid weight gain","C1834376",2,"T033","Finding"
"6665","theta-band activity","C0429286",2,"T033","Finding"
"6667","serotonin abnormalities","C1295692",2,"T033","Finding"
"6669","psychiatric symptom measures","C0233401",2,"T184","Sign or Symptom"
"6671","long-term memories","C0423909",2,"T041","Mental Process"
"6676","depression-like behaviors","C0339017",2,"T048","Mental or Behavioral Dysfunction"
"6678","depression-related behavior","C0339017",2,"T048","Mental or Behavioral Dysfunction"
"6686","depression symptoms","C0086132",2,"T184","Sign or Symptom"
"6690","serious adverse events","C1519255",2,"T033","Finding"
"6691","psychiatric condition","C0260517",2,"T033","Finding"
"6692","happy—calm faces","C3280055",2,"T033","Finding"
"6694","prodigious talent","C0039269",2,"T041","Mental Process"
"6695","prodigious savant syndrome","C2316458",2,"T048","Mental or Behavioral Dysfunction"
"6696","psychiatric disability","C1291707",2,"T033","Finding"
"6697","thin processes","C0039870",2,"T033","Finding"
"6699","magenis syndrome","C0795864",2,"T047","Disease or Syndrome"
"6701","partial response","C1521726",2,"T033","Finding"
"6702","missed or delayed diagnosis","C0000814",2,"T047","Disease or Syndrome"
"6704","influence pain","C0436637",2,"T033","Finding"
"6708","depression recurrence","C0221480",2,"T048","Mental or Behavioral Dysfunction"
"6713","transient brain overgrowth","C0751022",2,"T047","Disease or Syndrome"
"6719","previously tested frequency","C0745011",2,"T033","Finding"
"6720","latency to fall","C0575121",2,"T033","Finding"
"6721","linked ichthyosis","C0079588",2,"T047","Disease or Syndrome"
"6725","adhd persistence","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"6727","type i diabetes","C0011854",2,"T047","Disease or Syndrome"
"6734","shortness of breath","C0013404",2,"T184","Sign or Symptom"
"6736","sdq impact scores","C4273718",2,"T033","Finding"
"6737","increased mepsc amplitude and frequency","C3809089",2,"T033","Finding"
"6739","subclinical epileptiform activity","C1969872",2,"T033","Finding"
"6740","elevation of hearing thresholds","C3854655",2,"T033","Finding"
"6741","major depressive episode","C0024517",2,"T048","Mental or Behavioral Dysfunction"
"6746","adhd polygenic scores","C4068324",2,"T033","Finding"
"6747","multiple atypical subjects","C0015565",2,"T033","Finding"
"6751","subependymal nodules","C1968958",2,"T033","Finding"
"6752","diagnostic difficulties","C1299586",2,"T033","Finding"
"6753","brain disease","C0006111",2,"T047","Disease or Syndrome"
"6754","increased neural variability","C4017843",2,"T033","Finding"
"6756","angelman syndromes","C0162635",2,"T047","Disease or Syndrome"
"6760","verbal language impairment","C4065873",2,"T033","Finding"
"6769","increased motor stereotypies","C3898226",2,"T033","Finding"
"6780","recently recognised syndrome","C0558229",2,"T033","Finding"
